Vardas         Pavarde        Galutinis (Vid.)  Galutinis (Med.)  
------------------------------------------------------------------
Vardas7007     Pavarde7007    9.52              9.00              
Vardas4768     Pavarde4768    9.44              9.00              
Vardas2353     Pavarde2353    9.44              10.00             
Vardas5963     Pavarde5963    9.44              9.00              
Vardas8088     Pavarde8088    9.44              9.00              
Vardas9208     Pavarde9208    9.36              9.00              
Vardas545      Pavarde545     9.28              9.00              
Vardas6005     Pavarde6005    9.28              9.00              
Vardas4341     Pavarde4341    9.28              9.00              
Vardas3815     Pavarde3815    9.28              8.00              
Vardas7143     Pavarde7143    9.28              8.00              
Vardas6753     Pavarde6753    9.24              10.00             
Vardas5669     Pavarde5669    9.20              9.00              
Vardas617      Pavarde617     9.20              9.00              
Vardas7160     Pavarde7160    9.20              8.00              
Vardas535      Pavarde535     9.20              8.00              
Vardas6187     Pavarde6187    9.20              9.00              
Vardas5013     Pavarde5013    9.20              9.00              
Vardas4487     Pavarde4487    9.20              8.00              
Vardas5045     Pavarde5045    9.20              7.00              
Vardas4189     Pavarde4189    9.20              8.00              
Vardas4186     Pavarde4186    9.20              8.00              
Vardas15       Pavarde15      9.20              9.00              
Vardas280      Pavarde280     9.20              9.00              
Vardas9198     Pavarde9198    9.20              9.00              
Vardas5479     Pavarde5479    9.20              9.00              
Vardas7097     Pavarde7097    9.12              8.00              
Vardas6485     Pavarde6485    9.12              9.00              
Vardas3662     Pavarde3662    9.12              9.00              
Vardas8526     Pavarde8526    9.12              9.00              
Vardas3452     Pavarde3452    9.12              8.00              
Vardas8830     Pavarde8830    9.12              9.00              
Vardas8219     Pavarde8219    9.12              8.00              
Vardas2822     Pavarde2822    9.12              7.00              
Vardas8131     Pavarde8131    9.12              8.00              
Vardas3030     Pavarde3030    9.12              8.00              
Vardas5506     Pavarde5506    9.12              9.00              
Vardas4404     Pavarde4404    9.12              9.00              
Vardas4992     Pavarde4992    9.12              8.00              
Vardas3212     Pavarde3212    9.12              9.00              
Vardas8622     Pavarde8622    9.12              8.00              
Vardas9324     Pavarde9324    9.12              8.00              
Vardas6221     Pavarde6221    9.08              9.00              
Vardas9329     Pavarde9329    9.04              8.00              
Vardas2904     Pavarde2904    9.04              9.00              
Vardas2918     Pavarde2918    9.04              8.00              
Vardas8665     Pavarde8665    9.04              9.00              
Vardas7444     Pavarde7444    9.04              9.00              
Vardas9159     Pavarde9159    9.04              9.00              
Vardas4574     Pavarde4574    9.04              8.00              
Vardas9878     Pavarde9878    9.04              7.00              
Vardas2440     Pavarde2440    9.04              9.00              
Vardas3493     Pavarde3493    9.04              9.00              
Vardas2189     Pavarde2189    9.04              8.00              
Vardas523      Pavarde523     9.04              7.00              
Vardas7063     Pavarde7063    9.04              8.00              
Vardas6156     Pavarde6156    9.04              8.00              
Vardas5166     Pavarde5166    9.04              8.00              
Vardas2362     Pavarde2362    9.04              9.00              
Vardas8005     Pavarde8005    9.04              10.00             
Vardas2336     Pavarde2336    9.04              8.00              
Vardas9263     Pavarde9263    9.04              8.00              
Vardas4092     Pavarde4092    9.04              9.00              
Vardas1858     Pavarde1858    9.00              9.00              
Vardas4704     Pavarde4704    8.96              7.00              
Vardas8688     Pavarde8688    8.96              7.00              
Vardas5550     Pavarde5550    8.96              7.00              
Vardas7784     Pavarde7784    8.96              9.00              
Vardas1272     Pavarde1272    8.96              7.00              
Vardas1553     Pavarde1553    8.96              8.00              
Vardas1693     Pavarde1693    8.96              9.00              
Vardas9557     Pavarde9557    8.96              8.00              
Vardas7995     Pavarde7995    8.96              7.00              
Vardas9658     Pavarde9658    8.96              9.00              
Vardas4371     Pavarde4371    8.96              8.00              
Vardas4319     Pavarde4319    8.96              8.00              
Vardas2499     Pavarde2499    8.96              8.00              
Vardas1995     Pavarde1995    8.96              9.00              
Vardas5755     Pavarde5755    8.96              7.00              
Vardas6774     Pavarde6774    8.92              9.00              
Vardas6388     Pavarde6388    8.92              9.00              
Vardas170      Pavarde170     8.92              9.00              
Vardas5760     Pavarde5760    8.92              9.00              
Vardas9358     Pavarde9358    8.92              10.00             
Vardas7548     Pavarde7548    8.88              7.00              
Vardas3156     Pavarde3156    8.88              8.00              
Vardas4183     Pavarde4183    8.88              8.00              
Vardas9746     Pavarde9746    8.88              8.00              
Vardas1590     Pavarde1590    8.88              8.00              
Vardas7394     Pavarde7394    8.88              7.00              
Vardas261      Pavarde261     8.88              7.00              
Vardas3233     Pavarde3233    8.88              8.00              
Vardas3720     Pavarde3720    8.88              8.00              
Vardas9983     Pavarde9983    8.88              7.00              
Vardas2156     Pavarde2156    8.88              9.00              
Vardas4887     Pavarde4887    8.88              8.00              
Vardas5456     Pavarde5456    8.88              8.00              
Vardas6136     Pavarde6136    8.88              8.00              
Vardas251      Pavarde251     8.88              7.00              
Vardas8843     Pavarde8843    8.88              6.00              
Vardas2174     Pavarde2174    8.88              9.00              
Vardas7339     Pavarde7339    8.88              7.00              
Vardas5147     Pavarde5147    8.88              6.00              
Vardas1232     Pavarde1232    8.88              7.00              
Vardas7846     Pavarde7846    8.88              8.00              
Vardas7413     Pavarde7413    8.88              9.00              
Vardas1700     Pavarde1700    8.88              9.00              
Vardas4517     Pavarde4517    8.88              7.00              
Vardas3033     Pavarde3033    8.88              7.00              
Vardas7604     Pavarde7604    8.88              7.00              
Vardas2367     Pavarde2367    8.88              8.00              
Vardas3445     Pavarde3445    8.88              9.00              
Vardas6301     Pavarde6301    8.88              8.00              
Vardas3134     Pavarde3134    8.88              9.00              
Vardas5627     Pavarde5627    8.84              9.00              
Vardas2694     Pavarde2694    8.84              8.00              
Vardas5402     Pavarde5402    8.80              9.00              
Vardas8437     Pavarde8437    8.80              9.00              
Vardas153      Pavarde153     8.80              7.00              
Vardas1423     Pavarde1423    8.80              8.00              
Vardas3086     Pavarde3086    8.80              8.00              
Vardas8775     Pavarde8775    8.80              7.00              
Vardas4962     Pavarde4962    8.80              8.00              
Vardas5381     Pavarde5381    8.80              8.00              
Vardas6851     Pavarde6851    8.80              7.00              
Vardas2472     Pavarde2472    8.80              8.00              
Vardas2625     Pavarde2625    8.80              7.00              
Vardas7103     Pavarde7103    8.80              9.00              
Vardas5833     Pavarde5833    8.80              8.00              
Vardas601      Pavarde601     8.80              7.00              
Vardas7133     Pavarde7133    8.80              8.00              
Vardas7848     Pavarde7848    8.80              6.00              
Vardas5707     Pavarde5707    8.80              7.00              
Vardas2985     Pavarde2985    8.80              8.00              
Vardas6967     Pavarde6967    8.80              7.00              
Vardas7789     Pavarde7789    8.80              7.00              
Vardas9883     Pavarde9883    8.80              6.00              
Vardas5588     Pavarde5588    8.80              7.00              
Vardas649      Pavarde649     8.80              8.00              
Vardas1642     Pavarde1642    8.80              8.00              
Vardas358      Pavarde358     8.80              7.00              
Vardas3125     Pavarde3125    8.80              7.00              
Vardas3209     Pavarde3209    8.80              8.00              
Vardas7291     Pavarde7291    8.80              7.00              
Vardas6553     Pavarde6553    8.80              7.00              
Vardas8637     Pavarde8637    8.80              6.00              
Vardas5169     Pavarde5169    8.80              8.00              
Vardas5214     Pavarde5214    8.80              8.00              
Vardas8215     Pavarde8215    8.80              9.00              
Vardas1155     Pavarde1155    8.80              9.00              
Vardas3849     Pavarde3849    8.80              8.00              
Vardas6804     Pavarde6804    8.80              6.00              
Vardas6676     Pavarde6676    8.80              6.00              
Vardas6357     Pavarde6357    8.76              9.00              
Vardas1413     Pavarde1413    8.76              9.00              
Vardas8318     Pavarde8318    8.76              9.00              
Vardas6993     Pavarde6993    8.76              9.00              
Vardas2460     Pavarde2460    8.76              8.00              
Vardas7633     Pavarde7633    8.72              7.00              
